# Subtasks,Success,Success %,LCB %,UCB %,Total,Score(total),Score(fail),Time(s),Time σ,EE SPARC,SPARC σ,PathLen(m),Path σ,Speed(cm/s),Speed σ
1,6,66.7,34.8,87.8,9,0.833,0.500,10.62,2.37,-4.94,2.07,1.09,0.57,6.0,2.8
2,3,50.0,18.4,81.6,6,0.583,0.167,32.33,16.82,-5.61,1.04,3.06,1.33,6.3,1.0
