axis,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
procedural,10,0,0.0,2475.0,0.020000000298023225,11.68
relational,11,0,0.0,1554.5454545454545,0.09090909090909091,11.681818181818182
visual,18,0,0.0,1541.6666666666667,0.06666666683223513,11.71111111111111
