difficulty,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
complex,30,6,0.2,2505.633333333333,0.43500000089406965,11.793333333333333
moderate,42,17,0.40476190476190477,1373.8095238095239,0.39285714285714285,11.838095238095239
simple,48,4,0.08333333333333333,894.3541666666666,0.15625,11.808333333333334
