axis,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
procedural,70,14,0.2,2157.1285714285714,0.2833333338300387,11.85
relational,77,15,0.19480519480519481,1410.8311688311687,0.30303030303030304,11.856818181818182
visual,126,30,0.23809523809523808,1296.3174603174602,0.2592592595352067,11.868055555555555
