axis,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
procedural,10,2,0.2,2172.9,0.26500000059604645,12.0
relational,11,2,0.18181818181818182,1433.3636363636363,0.29545454545454547,11.99090909090909
visual,18,5,0.2777777777777778,1267.0,0.24444444477558136,12.016666666666667
