axis,episode_step_mean,episodes,pending_episodes,policy,score_mean,scored_episodes,success_rate
procedural,1680.2941176470588,34,0,pi05,0.3812745117089328,34,0.17647058823529413
relational,1076.0238095238096,42,0,pi05,0.41468254086517153,42,0.35714285714285715
unknown_axis,151.0,3,0,pi05,1.0,3,1.0
visual,1383.1904761904761,84,0,pi05,0.3896258512423152,84,0.23809523809523808
