axis,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
procedural,60,12,0.2,2154.5,0.29250000044703484,11.799999999999999
relational,66,13,0.19696969696969696,1407.0757575757575,0.3068181818181818,11.812121212121212
visual,108,25,0.23148148148148148,1301.2037037037037,0.26666666691501933,11.818518518518518
