task_length,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
10_atomic_conditions,6,0,0.0,1800.0,0.30000000447034836,11.799999999999999
14_atomic_conditions,6,2,0.3333333333333333,3178.0,0.875,11.799999999999999
18_atomic_conditions,6,0,0.0,4500.0,0.0,11.766666666666666
1_subtasks,48,16,0.3333333333333333,684.0833333333334,0.375,11.841666666666667
2_atomic_conditions,48,16,0.3333333333333333,684.0833333333334,0.375,11.841666666666667
2_subtasks,42,5,0.11904761904761904,1614.1190476190477,0.14285714285714285,11.799999999999999
3_atomic_conditions,6,0,0.0,1350.0,0.0,11.799999999999999
3_subtasks,12,4,0.3333333333333333,1525.0833333333333,0.5,11.799999999999999
4_atomic_conditions,42,5,0.11904761904761904,1614.1190476190477,0.14285714285714285,11.799999999999999
5_subtasks,6,0,0.0,1800.0,0.30000000447034836,11.799999999999999
6_atomic_conditions,6,4,0.6666666666666666,1700.1666666666667,1.0,11.799999999999999
7_subtasks,6,2,0.3333333333333333,3178.0,0.875,11.799999999999999
9_subtasks,6,0,0.0,4500.0,0.0,11.766666666666666
