task_name,env_name,policy,variant,episodes,successes,success_rate,score_mean,episode_step_mean,duration_mean,policy_inference_avg_ms_mean,env_step_avg_ms_mean
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask_randomize_external_camera,pi05,camera_external_randomized,1,1,1.0,,1261.0,84.06666666666666,,
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,2700.0,180.0,,
PlasticBottlesInSquarePailTask,PlasticBottlesInSquarePailTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,1,1.0,,439.0,29.266666666666666,,
PutMugsOnShelfTask,PutMugsOnShelfTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,2700.0,180.0,,
PutMugsOnShelfTask,PutMugsOnShelfTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,2700.0,180.0,,
PutMugsOnShelfTask,PutMugsOnShelfTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,2700.0,180.0,,
ReorientJugTask,ReorientJugTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
ReorientJugTask,ReorientJugTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,1,1.0,,708.0,47.2,,
ReorientJugTask,ReorientJugTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,900.0,60.0,,
ToolsPickingDrillTask,ToolsPickingDrillTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
ToolsPickingDrillTask,ToolsPickingDrillTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,900.0,60.0,,
ToolsPickingDrillTask,ToolsPickingDrillTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,900.0,60.0,,
ToolsPickingHammerTask,ToolsPickingHammerTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
ToolsPickingHammerTask,ToolsPickingHammerTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,900.0,60.0,,
ToolsPickingHammerTask,ToolsPickingHammerTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,900.0,60.0,,
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask_randomize_external_camera,pi05,camera_external_randomized,1,0,0.0,,900.0,60.0,,
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask_randomize_wrist_and_external_cam,pi05,camera_external_and_wrist_randomized,1,0,0.0,,900.0,60.0,,
YellowAndWhiteObjectsInBinTask,YellowAndWhiteObjectsInBinTask_randomize_wrist_cam,pi05,camera_wrist_randomized,1,0,0.0,,900.0,60.0,,
