axis,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
procedural,10,3,0.3,2070.7,0.3200000002980232,11.709999999999999
relational,11,3,0.2727272727272727,1358.0,0.3181818181818182,11.745454545454544
visual,18,5,0.2777777777777778,1255.111111111111,0.28888888905445737,11.744444444444444
