axis,episode_step_mean,episodes,pending_episodes,policy,score_mean,scored_episodes,success_rate
procedural,2475.0,10,0,pi05,0.020000000298023225,10,0.0
relational,1554.5454545454545,11,0,pi05,0.09090909090909091,11,0.0
visual,1541.6666666666667,18,0,pi05,0.06666666683223513,18,0.0
