difficulty,episodes,successes,success_rate,episode_step_mean,score_mean,policy_inference_avg_ms_mean
complex,35,7,0.2,2513.4857142857145,0.4333333343267441,11.844999999999999
moderate,49,20,0.40816326530612246,1369.2448979591836,0.38095238095238093,11.882142857142856
simple,56,5,0.08928571428571429,889.9821428571429,0.14583333333333334,11.859375
